Year,Rank,Artist,Title
1987,30,Sandra,Everlasting Love
1988,1,Erste Allgemeine Verunsicherung,"Küss' die Hand, schöne Frau"
1988,2,Eddy Grant,Gimme Hope Jo'anna
1988,3,Koreana,Hand In Hand
1988,4,Ofra Haza,Im nin' alu
1988,5,Mory Kante,Yé ké yé ké
1988,6,Michael Jackson,Dirty Diana
1988,7,Eighth Wonder,I'm Not Scared
1988,8,Belinda Carlisle,Heaven Is A Place On Earth
1988,9,S-Express,Theme From S-Express
1988,10,Taylor Dayne,Tell It To My Heart
1988,11,T'Pau,China In Your Hand
1988,12,Fat Boys with Chubby Checker,The Twist
1988,13,Natalie Cole,Pink Cadillac
1988,14,Milli Vanilli,Girl You Know It's True
1988,15,Pet Shop Boys,Always On My Mind
1988,16,Kylie Minogue,I Should Be So Lucky
1988,17,France Gall,Ella elle l'a
1988,18,Krush,House Arrest
1988,19,Sam Brown,Stop!
1988,20,Pet Shop Boys,Heart
1988,21,Kim Wilde,You Came
1988,22,Yazz And The Plastic Population,The Only Way Is Up
1988,23,Bros,When Will I Be Famous?
1988,24,Guesch Patti,Etienne
1988,25,Rainhard Fendrich,Macho Macho
1988,26,Billy Ocean,"Get Outta My Dreams, Get Into My Car"
1988,27,Mandy Winter,Julian
1988,28,Yello,The Race
1988,29,Bomb The Bass,Beat Dis
1988,30,Steve Thomson,Europe
1989,1,David Hasselhoff,Looking For Freedom
1989,2,Roxette,The Look
1989,3,Robin Beck,First Time
1989,4,Kaoma,Lambada
1989,5,Bangles,Eternal Flame
1989,6,Madonna,Like A Prayer
1989,7,Fine Young Cannibals,She Drives Me Crazy
1989,8,Soul II Soul,Back To Life (However Do You Want Me)
1989,9,Mysterious Art,Das Omen (Teil 1)
1989,10,Prince,Batdance
1989,11,Gladys Knight,Licence To Kill
1989,12,Madonna,Express Yourself
1989,13,Jive Bunny And The Mastermixers,Swing The Mood
1989,14,Neneh Cherry,Manchild
1989,15,Marc Almond feat. Gene Pitney,Something's Gotten Hold Of My Heart
1989,16,Paula Abdul,Straight Up
1989,17,Simple Minds,Ballad Of The Streets
1989,18,Texas,I Don't Want A Lover
1989,19,Enya,Orinoco Flow
1989,20,Edelweiss,Bring Me Edelweiss
1989,21,Tanita Tikaram,Twist In My Sobriety
1989,22,Kylie & Jason,Especially For You
1989,23,Martika,Toy Soldiers
1989,24,Lil Louis,French Kiss
1989,25,The Heavy's,Metal Marathon
1989,26,Bobby McFerrin,"Don't Worry, Be Happy"
1989,27,Tina Turner,The Best
1989,28,Don Johnson,Tell It Like It Is
1989,29,Roxette,Dressed For Success
1989,30,Phil Collins,In The Air Tonight
1990,1,Edoardo Bennato & Gianna Nannini,Un'estate italiana
1990,2,Matthias Reim,Verdammt - ich lieb' dich
1990,3,Nick Kamen,I Promised Myself
1990,4,Twenty 4 Seven feat. Capt. Hollywood,I Can't Stand It!
1990,5,Roxette,It Must Have Been Love
1990,6,Sinéad O'Connor,Nothing Compares 2 U
1990,7,Vaya Con Dios,What's A Woman?
1990,8,Snap!,Ooops Up
1990,9,Snap!,The Power
1990,10,Alannah Myles,Black Velvet
1990,11,Phil Collins,Another Day In Paradise
1990,12,Madonna,Vogue
1990,13,Milli Vanilli,Girl I'm Gonna Miss You
1990,14,Toto Cutugno,Insieme: 1992
1990,15,MC Hammer,U Can't Touch This
1990,16,Depeche Mode,Enjoy The Silence
1990,17,Technotronic feat. Felly,Pump Up The Jam
1990,18,Black Box,I Don't Know Anybody Else
1990,19,Lisa Stansfield,All Around The World
1990,20,Guru Josh,Infinity (1990's... Time For The Guru)
1990,21,Eros Ramazzotti,Se bastasse una canzone
1990,22,Jon Bon Jovi,Blaze Of Glory
1990,23,DNA feat. Suzanne Vega,Tom's Diner
1990,24,Technotronic,Get Up! (Before The Night Is Over)
1990,25,Black Box,Ride On Time
1990,26,Erste Allgemeine Verunsicherung,Ding Dong
1990,27,Rob'n'Raz feat. Leila K.,Got To Get
1990,28,Ice MC,Easy
1990,29,Sandra,Hiroshima
1990,30,Was (Not Was),Papa Was A Rolling Stone
1991,1,Scorpions,Wind Of Change
1991,2,Roxette,Joyride
1991,3,Bryan Adams,(Everything I Do) I Do It For You
1991,4,Zucchero & Paul Young,Senza una donna (Without A Woman)
1991,5,Seal,Crazy
1991,6,Enigma,Sadeness Part I
1991,7,Cher,The Shoop Shoop Song (It's In His Kiss)
1991,8,Guns N' Roses,You Could Be Mine
1991,9,Vanilla Ice,Ice Ice Baby
1991,10,De La Soul,Ring Ring Ring (Ha Ha Hey)
1991,11,Crystal Waters,Gypsy Woman (La Da Dee La Da Da)
1991,12,Extreme,More Than Words
1991,13,C & C Music Factory feat. Freedom Williams,Gonna Make You Sweat (Everybody Dance Now)
1991,14,Robert Palmer and UB40,I'll Be Your Baby Tonight
1991,15,M.C. Eugster,Zillertaler Hochzeitsmarsch
1991,16,EMF,Unbelievable
1991,17,Roxette,Fading Like A Flower (Every Time You Leave)
1991,18,Dr. Alban feat. Leila K.,Hello Afrika
1991,19,Monie Love feat. True Image,It's A Shame (My Sister)
1991,20,Rod Stewart,Rhythm Of My Heart
1991,21,The Clash,Should I Stay Or Should I Go
1991,22,The KLF,Last Train To Trancentral
1991,23,Dr. Alban,No Coke
1991,24,Maria McKee,Show Me Heaven
1991,25,Kate Yanai,Bacardi Feeling (Summer Dreamin')
1991,26,Londonbeat,I've Been Thinking About You
1991,27,Prince And The New Power Generation,Gett Off
1991,28,Heavy D & The Boyz,Now That We Found Love
1991,29,The Righteous Brothers,Unchained Melody
1991,30,The KLF,3 A.M. Eternal
1992,1,Dr. Alban,It's My Life
1992,2,Snap!,Rhythm Is A Dancer
1992,3,Mr. Big,To Be With You
1992,4,Ten Sharp,You
1992,5,Erasure,ABBA-esque
1992,6,Double You,Please Don't Go
1992,7,George Michael / Elton John,Don't Let The Sun Go Down On Me
1992,8,Guns N' Roses,Knockin' On Heaven's Door
1992,9,U 96,Das Boot
1992,10,Roxette,How Do You Do!
1992,11,The KLF,Justified & Ancient
1992,12,Metallica,Nothing Else Matters
1992,13,Shakespears Sister,Stay
1992,14,Michael Jackson,Black Or White
1992,15,Madonna,This Used To Be My Playground
1992,16,Shanice,I Love Your Smile
1992,17,Inner Circle,Sweat (A La La La La Long)
1992,18,Crowded House,Weather With You
1992,19,Salt-N-Pepa,Let's Talk About Sex!
1992,20,Def Leppard,Let's Get Rocked
1992,21,Annie Lennox,Why
1992,22,Double You,We All Need Love
1992,23,The KLF,America: What Time Is Love?
1992,24,Prince And The New Power Generation,Sexy MF
1992,25,Baby Jail,Tubel Trophy
1992,26,George Michael,Too Funky
1992,27,Jon Secada,Just Another Day
1992,28,Kris Kross,Jump
1992,29,Rozalla,Everybody's Free (To Feel Good)
1992,30,Vaya Con Dios,Heading For A Fall
1992,31,Michael Jackson,Remember The Time
1992,32,Genesis,I Can't Dance
1992,33,Garland Jeffreys,Hail Hail Rock 'n' Roll
1992,34,Elton John,The One
1992,35,Londonbeat,You Bring On The Sun
1992,36,Vanessa Williams,Save The Best For Last
1992,37,Eric Clapton,Tears In Heaven
1992,38,KISS,God Gave Rock & Roll To You II
1992,39,Snap!,Colour Of Love
1992,40,U 96,I Wanna Be A Kennedy
1993,1,DJ BoBo,Somebody Dance With Me
1993,2,Haddaway,What Is Love
1993,3,Ace Of Base,All That She Wants
1993,4,2 Unlimited,No Limit
1993,5,4 Non Blondes,What's Up?
1993,6,UB40,(I Can't Help) Falling In Love With You
1993,7,Whitney Houston,I Will Always Love You
1993,8,Dr. Alban,Sing Hallelujah!
1993,9,Eros Ramazzotti,Cose della vita
1993,10,Paul McCartney,Hope Of Deliverance
1993,11,Culture Beat,Mr. Vain
1993,12,Captain Hollywood Project,More And More
1993,13,Haddaway,Life
1993,14,Snow,Informer
1993,15,Michael Jackson,Heal The World
1993,16,Snap! feat. Niki Haris,Exterminate!
1993,17,Die Fantastischen Vier,Die da
1993,18,Bon Jovi,Bed Of Roses
1993,19,Soul Asylum,Runaway Train
1993,20,Spin Doctors,Two Princes
1993,21,2 Unlimited,Tribal Dance
1993,22,Freddie Mercury,Living On My Own [1993]
1993,23,Charles & Eddie,Would I Lie To You?
1993,24,US 3,Cantaloop
1993,25,DJ BoBo,Keep On Dancing!
1993,26,Ugly Kid Joe,Cats In The Cradle
1993,27,Faith No More,I'm Easy
1993,28,Jaydee,Plastic Dreams
1993,29,Shaggy,Oh Carolina
1993,30,Captain Hollywood Project,Only With You
1993,31,Ace Of Base,Wheel Of Fortune
1993,32,Janet Jackson,That's The Way Love Goes
1993,33,Rod Stewart,Tom Traubert's Blues (Waltzing Matilda)
1993,34,Felix,Don't You Want Me
1993,35,U 96,Love Sees No Colour
1993,36,The Beloved,Sweet Harmony
1993,37,Billy Joel,The River Of Dreams
1993,38,Felix,It Will Make Me Crazy
1993,39,Shakespears Sister,Hello (Turn Your Radio On)
1993,40,Tina Turner,I Don't Wanna Fight
1994,1,Mariah Carey,Without You
1994,2,Youssou N'Dour & Neneh Cherry,7 Seconds
1994,3,Züri West,I schänke dr mis Härz
1994,4,All-4-One,I Swear
1994,5,Wet Wet Wet,Love Is All Around
1994,6,DJ BoBo,Everybody
1994,7,"Bryan Adams, Rod Stewart, Sting",All For Love
1994,8,Enigma,Return To Innocence
1994,9,East 17,It's Alright
1994,10,Corona,The Rhythm Of The Night
1994,11,Cappella,Move On Baby
1994,12,Bruce Springsteen,Streets Of Philadelphia
1994,13,Mo-Do,"Eins, zwei, Polizei"
1994,14,Big Mountain,"Baby, I Love Your Way"
1994,15,The Symbol,The Most Beautiful Girl In The World
1994,16,Marusha,Over The Rainbow
1994,17,Doop,Doop
1994,18,Stiltskin,Inside
1994,19,Crash Test Dummies,Mmm Mmm Mmm Mmm
1994,20,Cappella,U Got 2 Let The Music
1994,21,Take That,Babe
1994,22,Ace Of Base,The Sign
1994,23,Whigfield,Saturday Night
1994,24,The Grid,Swamp Thing
1994,25,Jam & Spoon feat. Plavka,Right In The Night (Fall In Love With Music)
1994,26,The Prodigy,No Good (Start The Dance)
1994,27,DJ BoBo,Take Control
1994,28,CJ Lewis,Sweets For My Sweet
1994,29,Dr. Alban,Look Who's Talking!
1994,30,Culture Beat,Anything
1994,31,Warren G & Nate Dogg,Regulate
1994,32,Meat Loaf,I'd Do Anything For Love (But I Won't Do That)
1994,33,Lucilectric,Mädchen
1994,34,Perplexer,Acid Folk
1994,35,Bryan Adams,Please Forgive Me
1994,36,Maxx,Get-A-Way
1994,37,Joshua Kadison,Jessie
1994,38,Prince Ital Joe feat. Marky Mark,United
1994,39,Magic Affair,Omen III
1994,40,Bon Jovi,Always
1994,41,D.J. Igo,Freude herrscht (ohne Wenn und Aber)
1994,42,DJ BoBo,Let The Dream Come True
1994,43,2 Unlimited,The Real Thing
1994,44,WestBam,Celebration Generation
1994,45,Aerosmith,Cryin'
1994,46,Boyz II Men,I'll Make Love To You
1994,47,Reel 2 Real feat. The Mad Stuntman,I Like To Move It
1994,48,Inner Circle,Games People Play
1994,49,Luther Vandross & Mariah Carey,Endless Love
1994,50,D:Ream,Things Can Only Get Better
1995,1,Bryan Adams,Have You Ever Really Loved A Woman?
1995,2,Vangelis,Conquest Of Paradise
1995,3,Rednex,Wish You Were Here
1995,4,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop)
1995,5,La Bouche,Be My Lover
1995,6,Gompie,"Alice, Who The X Is Alice?"
1995,7,The Cranberries,Zombie
1995,8,Take That,Back For Good
1995,9,Céline Dion,Think Twice
1995,10,Rednex,Cotton Eye Joe
1995,11,Rednex,Old Pop In An Oak
1995,12,XXL feat. Peter 'Cool Man' Steiner,It's Cool Man
1995,13,Nightcrawlers,Push The Feeling On
