Year,Rank,Artist,Title
2003,79,Evanescence,Going Under
2003,80,50 Cent,21 Questions
2003,81,Sugar Daddy,Sweet Soca Music
2003,82,Jennifer Lopez feat. Jadakiss and Styles,Jenny From The Block
2003,83,Avril Lavigne,I'm With You
2003,84,Kate Ryan,Désenchantée
2003,85,Sertab,Every Way That I Can
2003,86,Shakira,Objection (Tango)
2003,87,Kyo,Dernière danse
2003,88,Simply Red,Sunrise
2003,89,Alizée,J'en ai marre!
2003,90,DJ Energy & Tatana,Liberty (Energy 03 Theme)
2003,91,Gareth Gates,Unchained Melody
2003,92,Sweet Generation,"1, 2, 3"
2003,93,Martin Kesici,Angel Of Berlin
2003,94,DMX,X Gon' Give It To Ya
2003,95,Mickey 3D,Respire
2003,96,Kelly Rowland,Stole
2003,97,Preluders,Everyday Girl
2003,98,Nickelback,Someday
2003,99,Ricky Martin,Jaleo
2003,100,Patrick Nuo,5 Days
2004,1,O-Zone,Dragostea din teï
2004,2,The Black Eyed Peas,Shut Up
2004,3,MusicStars,A Kiss Goodbye
2004,4,Usher feat. Lil' Jon & Ludacris,Yeah
2004,5,Eamon,F**k It (I Don't Want You Back)
2004,6,Jamelia,Superstar
2004,7,K-Maro,Femme Like U (Donne-moi ton corps)
2004,8,Anastacia,Left Outside Alone
2004,9,Haiducii,Dragostea din tei
2004,10,Aventura,Obsesión
2004,11,MusicStars,Lost In Love
2004,12,Kevin Lyttle,Turn Me On
2004,13,Mario Winans feat. Enya & P. Diddy,I Don't Wanna Know
2004,14,Limp Bizkit,Behind Blue Eyes
2004,15,Baby Bash,Suga Suga
2004,16,Anastacia,Sick And Tired
2004,17,Britney Spears,Toxic
2004,18,Britney Spears,Everytime
2004,19,Maroon 5,This Love
2004,20,Hélène Segara & Laura Pausini,"On n'oublie jamais rien, on vit avec"
2004,21,Max,Can't Wait Until Tonight
2004,22,Kareen Antonn / Bonnie Tyler,Si demain... (Turn Around)
2004,23,Soul Control,Chocolate (Choco Choco)
2004,24,D12,My Band
2004,25,Carmen Fenk,In Love With You Again
2004,26,JoJo,Leave (Get Out)
2004,27,The Black Eyed Peas,Hey Mama
2004,28,Blue,Breathe Easy
2004,29,Nina Sky feat. Jabba,Move Ya Body
2004,30,Evanescence,My Immortal
2004,31,Outkast,Hey Ya!
2004,32,Sarah Connor feat. Natural,Just One Last Dance
2004,33,Mario Pacchioli,Tier tei / By Your Side
2004,34,Eric Prydz,Call On Me
2004,35,Christina Aguilera,The Voice Within
2004,36,Seal,Love's Divine
2004,37,Baschi.,Gib mer ä Chance
2004,38,Destiny's Child,Lose My Breath
2004,39,Nelly feat. Jaheim,My Place
2004,40,Sarah Connor feat. Naturally 7,Music Is The Key
2004,41,Nelly Furtado,Força
2004,42,Plüsch,Irgendeinisch
2004,43,Eminem,Just Lose It
2004,44,Hoobastank,The Reason
2004,45,Tupac feat. The Notorious B.I.G.,Runnin' (Dying To Live) [2003]
2004,46,Christina Milian feat. Samy Deluxe,Dip It Low
2004,47,Kelis,Trick Me
2004,48,Aventura,Hermanita
2004,49,Yvonne Catterfeld,Du hast mein Herz gebrochen
2004,50,Sean Paul feat. Sasha,I'm Still In Love With You
2004,51,Star Academy 3,L'orange / Wot
2004,52,The Black Eyed Peas,Let's Get It Started
2004,53,Sugababes,Too Lost In You
2004,54,Nâdiya,Parle-moi
2004,55,Les Conards,Comme des conards
2004,56,Calogero & Passi,Face à la mer
2004,57,Usher & Alicia Keys,My Boo
2004,58,Sarah Connor,Living To Love You
2004,59,Enrique Iglesias feat. Kelis,Not In Love
2004,60,"Houston feat. Chingy, Nate Dogg & I-20",I Like That
2004,61,T-Rio,(Choopeta) Mamãe eu quero
2004,62,Alexander,Free Like The Wind
2004,63,Usher,Burn
2004,64,Mia Aegerter,So wie i bi
2004,65,"Stefan Raab feat. Spucky, Kork & Schrotty",Space-Taxi
2004,66,Blue,Bubblin'
2004,67,No Doubt,It's My Life
2004,68,Christina Aguilera feat. Missy Elliott,Car Wash
2004,69,Tatana feat. Jaël,Always On My Mind
2004,70,3rd Wish feat. Baby Bash,Obsesión (Si es amor)
2004,71,The Rasmus,In The Shadows
2004,72,Pascal Obispo / Natasha St-Pier,Mourir demain
2004,73,Overground,Schick mir 'nen Engel
2004,74,J Five feat. Charlie Chaplin,Modern Times
2004,75,Lorie,Week End
2004,76,Danzel,Pump It Up!
2004,77,Fatman Scoop feat. The Crooklyn Clan,Be Faithful
2004,78,Nelly Furtado,Powerless (Say What You Want)
2004,79,Tragedie,Hey Oh
2004,80,Gloria Estefan,Wrapped
2004,81,George Michael,Amazing
2004,82,Britney Spears,My Prerogative
2004,83,Star Academy 4,Laissez-moi danser
2004,84,Kylie Minogue,Red Blooded Woman
2004,85,Tragedie,Sexy pour moi
2004,86,Rammstein,Amerika
2004,87,50 Cent,P.I.M.P.
2004,88,Nâdiya feat. Smartzee,Et c'est parti...
2004,89,Emma Daumas,Tu seras
2004,90,Royal Gigolos,California Dreamin'
2004,91,Ashlee Simpson,Pieces Of Me
2004,92,O-Zone,Despre tine
2004,93,Frankee,F.U.R.B. (F U Right Back)
2004,94,Avril Lavigne,Don't Tell Me
2004,95,K-Maro,Crazy
2004,96,Natasha Bedingfield,These Words
2004,97,G-Unit,Stunt 101
2004,98,DJ Tatana,Elements Of Culture (Street Parade 2004)
2004,99,Preluders,Everyday Girl
2004,100,50 Cent,If I Can't
2005,1,Schnappi,"Schnappi, das kleine Krokodil"
2005,2,Crazy Frog,Axel F
2005,3,Shakira feat. Alejandro Sanz,La tortura
2005,4,Akon,Lonely
2005,5,The Pussycat Dolls feat. Busta Rhymes,Don't Cha
2005,6,50 Cent feat. Olivia,Candy Shop
2005,7,Juanes,La camisa negra
2005,8,Söhne Mannheims,Und wenn ein Lied
2005,9,Ch!pz,Ch!pz In Black (Who You Gonna Call)
2005,10,Mustafa Sandal feat. Gentleman,Isyankar
2005,11,James Blunt,You're Beautiful
2005,12,Mario,Let Me Love You
2005,13,Melanie C,First Day Of My Life
2005,14,Jennifer Lopez,Get Right
2005,15,Daddy Yankee,Gasolina
2005,16,Snoop Dogg feat. Pharrell,Drop It Like It's Hot
2005,17,Sarah Connor,Living To Love You
2005,18,Madonna,Hung Up
2005,19,Rihanna,Pon de replay
2005,20,Ben Moody feat. Anastacia,Everything Burns
2005,21,Destiny's Child,Lose My Breath
2005,22,Backstreet Boys,Incomplete
2005,23,Ilona Mitrecey,Un monde parfait
2005,24,MusicStars,Here I Am
2005,25,Tokio Hotel,Durch den Monsun
2005,26,Marc Terenzi,Love To Be Loved By You
2005,27,Salome,Gumpu
2005,28,Arash,Boro Boro
2005,29,Snoop Dogg feat. Charlie Wilson and Justin Timberlake,Signs
2005,30,K-Maro,Femme Like U (Donne-moi ton corps)
2005,31,Nu Pagadi,Sweetest Poison
2005,32,Daniel Powter,Bad Day
2005,33,Nelly feat. Tim McGraw,Over And Over
2005,34,Gwen Stefani,Hollaback Girl
2005,35,2Pac,Ghetto Gospel
2005,36,Eric Prydz,Call On Me
2005,37,Sugababes,Push The Button
2005,38,Sarah Connor,From Zero To Hero
2005,39,Ciara feat. Missy Elliott,"1, 2 Step"
2005,40,The Black Eyed Peas,Don't Phunk With My Heart
2005,41,Robbie Williams,Tripping
2005,42,MusicStars,Friends Forever
2005,43,Banaroo,Dubi Dam Dam
2005,44,Ch!pz,Cowboy
2005,45,Gwen Stefani feat. Eve,Rich Girl
2005,46,Gotthard,Lift 'U' Up
2005,47,Sean Paul,We Be Burnin'
2005,48,Stress,Libéré
2005,49,Will Smith,Switch
2005,50,Joana Zimmer,I Believe (Give A Little Bit...)
2005,51,Eminem,Like Toy Soldiers
2005,52,The Game feat. 50 Cent,How We Do
2005,53,Jay-Z / Linkin Park,Numb / Encore
2005,54,Green Day,Boulevard Of Broken Dreams
2005,55,Eros Ramazzotti,La nostra vita
2005,56,Jean Dujardin,Le casse de Brice
2005,57,Mariah Carey,We Belong Together
2005,58,Nena,Liebe ist
2005,59,Kelly Clarkson,Since U Been Gone
2005,60,Ilona Mitrecey,C'est les vacances
2005,61,Kylie Minogue,I Believe In You
2005,62,Bon Jovi,Have A Nice Day
2005,63,50 Cent,Just A Lil Bit
2005,64,A.S.I.E.,Et puis la terre...
2005,65,US5,Maria
2005,66,Amel Bent,Ma philosophie
2005,67,Xavier Naidoo,Dieser Weg
2005,68,50 Cent feat. Mobb Deep,Outta Control
2005,69,Usher & Alicia Keys,My Boo
2005,70,Kandlbauer,Maybe In Heaven
2005,71,Gorillaz,Feel Good Inc
2005,72,Apocalyptica feat. Ville Valo and Lauri Ylönen,Bittersweet
2005,73,Christina Aguilera feat. Missy Elliott,Car Wash
2005,74,Destiny's Child feat. T.I. and Lil Wayne,Soldier
2005,75,Ashanti,Only U
2005,76,Patrick Nuo,Beautiful
2005,77,Eminem,Just Lose It
2005,78,Gwen Stefani,What You Waiting For?
2005,79,Garou & Michel Sardou,La rivière de notre enfance
2005,80,Sinsemilia,Tout le bonheur du monde
2005,81,Pinocchio,T'es pas cap Pinocchio
2005,82,Ja Rule feat. R. Kelly & Ashanti,Wonderful
2005,83,Baschi.,Gib mer ä Chance
2005,84,Christina Stürmer,Ich lebe [2005]
2005,85,DJ Tatana feat. Morris,Today Is Tomorrow (Street Parade 2005)
2005,86,Papi Sanchez,Enamórame
2005,87,The Black Eyed Peas,Don't Lie
2005,88,Baschi,Irgendwie wunderbar
2005,89,US5,Just Because Of You
2005,90,Speedy feat. Lumidee,Sientelo
2005,91,Fettes Brot,Emanuela
2005,92,t.A.T.u.,All About Us
2005,93,Yvonne Catterfeld,Glaub an mich
2005,94,Ciara,Goodies
2005,95,Starsailor,Four To The Floor (Remix)
2005,96,Mariah Carey,It's Like That
2005,97,The Game feat. 50 Cent,Hate It Or Love It
2005,98,Mattafix,Big City Life
2005,99,Marilou avec Garou,Tu es comme ça
2005,100,Akon,Locked Up
2006,1,Shakira feat. Wyclef Jean,Hips Don't Lie
2006,2,Gnarls Barkley,Crazy
2006,3,"Bob Sinclar presents Goleo VI feat. Gary ""Nesta"" Pine",Love Generation
2006,4,Baschi,Bring en hei
2006,5,Eros Ramazzotti & Anastacia,I Belong To You (il ritmo della passione)
2006,6,Rihanna,Unfaithful
2006,7,Mattafix,Big City Life
2006,8,Kelly Clarkson,Because Of You
2006,9,Nelly Furtado,Maneater
2006,10,Madonna,Hung Up
2006,11,Mary J Blige and U2,One
2006,12,Scissor Sisters,I Don't Feel Like Dancin'
2006,13,Tiziano Ferro,Stop! Dimentica
2006,14,Melanie C,First Day Of My Life
2006,15,P!nk,Stupid Girls
2006,16,Monrose,Shame
2006,17,Xavier Naidoo,Dieser Weg
2006,18,The Pussycat Dolls feat. Snoop Dogg,Buttons
2006,19,Sergio Mendes feat. The Black Eyed Peas,Mas que nada
2006,20,Rihanna,SOS
2006,21,Tobias Regner,I Still Burn
2006,22,Justin Timberlake,SexyBack
2006,23,Crazy Frog,We Are The Champions (Ding A Dang Dong)
2006,24,Christina Aguilera,Hurt
2006,25,Red Hot Chili Peppers,Dani California
2006,26,Christina Aguilera,Ain't No Other Man
2006,27,Juanes,A Dios le pido
2006,28,Nelly Furtado,All Good Things (Come To An End)
2006,29,The Black Eyed Peas,My Humps
2006,30,La Plage,Coup de boule
2006,31,Silbermond,Das Beste
2006,32,Texas Lightning,No No Never
2006,33,Madonna,Sorry
2006,34,James Blunt,You're Beautiful
2006,35,Paris Hilton,Stars Are Blind
2006,36,The Pussycat Dolls,Stickwitu
2006,37,Juanes,La camisa negra
2006,38,Akon feat. Eminem,Smack That
2006,39,The Pussycat Dolls feat. will.i.am,Beep
2006,40,Take That,Patience
2006,41,Robbie Williams,Rudebox
2006,42,Bob Sinclar feat. Steve Edwards,"World, Hold On (Children Of The Sky)"
2006,43,Chris Brown feat. Juelz Santana,Run It!
2006,44,Justin Timberlake feat. T.I.,My Love
2006,45,Beyoncé feat. Slim Thug,Check On It
2006,46,Ne-Yo,So Sick
2006,47,Lordi,Hard Rock Hallelujah
2006,48,Nelly Furtado feat. Timbaland,Promiscuous
2006,49,Ch!pz,1001 Arabian Nights
2006,50,P!nk,U + Ur Hand
2006,51,Lovebugs feat. Lene Marlin,Avalon
2006,52,P!nk,Who Knew
2006,53,Mary J Blige,Be Without You
2006,54,Robbie Williams,Advertising Space
2006,55,Beyoncé feat. Jay-Z,Déjà Vu
2006,56,Simple Plan,Untitled (How Could This Happen To Me?)
2006,57,P. Diddy feat. Nicole Scherzinger,Come To Me
2006,58,Sugababes,Push The Button
2006,59,Sean Paul,Temperature
2006,60,Lunik,Little Bit
2006,61,Zucchero & Maná,Baila morena
2006,62,50 Cent,Window Shopper
2006,63,Eminem,When I'm Gone
2006,64,Tatana feat. Onita Boone,Free
2006,65,The Black Eyed Peas,Pump It
2006,66,James Morrison,You Give Me Something
2006,67,Diam's,La boulette (Génération nan nan)
2006,68,Bob Sinclar & Cutee-B feat. Dollarman & Big Ali & Makedah,Rock This Party (Everybody Dance Now)
2006,69,Snow Patrol,Chasing Cars
2006,70,Rosenstolz,Ich bin ich (Wir sind wir)
2006,71,Sean Paul feat. Keyshia Cole,(When You Gonna) Give It Up To Me
2006,72,Gimma,Hymna
2006,73,Mike Leon Grosch,Don't Let It Get You Down
2006,74,Fergie,London Bridge
2006,75,t.A.T.u.,All About Us
2006,76,Flipsyde feat. Piper,Happy Birthday
2006,77,Fatal Bazooka,Fous ta cagoule
2006,78,Pinocchio,Klick klack
2006,79,DJ BoBo & Sandra,Secrets Of Love
2006,80,James Blunt,Goodbye My Lover
2006,81,US5,Come Back To Me Baby
2006,82,U2 and Green Day,The Saints Are Coming
2006,83,Evanescence,Call Me When You're Sober
2006,84,Jan Delay,Klar
2006,85,Crazy Frog,Popcorn
2006,86,Faf Larage,Pas le temps
2006,87,Lily Allen,Smile
2006,88,Sarah Connor,Christmas In My Heart
2006,89,Tic Tac Toe,Spiegel
2006,90,"The Notorious B.I.G. feat. Diddy, Nelly, Jagged Edge and Avery Storm",Nasty Girl
2006,91,Shakira,Don't Bother
2006,92,Corinne Bailey Rae,Put Your Records On
2006,93,Cassie,Me & U
2006,94,Tina Arena,Aimer jusqu'à l'impossible
2006,95,Yoomiii,"Gimme, Gimme, Gimme"
2006,96,Beyoncé,Irreplaceable
2006,97,Robbie Williams,Sin Sin Sin
2006,98,Marquess,El temperamento
2006,99,Kelly Clarkson,Breakaway
2006,100,Shakira feat. Carlos Santana,Illegal
2007,1,DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt)
2007,2,Rihanna feat. Jay-Z,Umbrella
2007,3,Nelly Furtado,Say It Right
2007,4,Nelly Furtado,All Good Things (Come To An End)
2007,5,Mika,Relax (Take It Easy)
2007,6,Ville Valo & Natalia Avelon,Summer Wine
2007,7,James Blunt,1973
2007,8,P!nk,Dear Mr. President
2007,9,Mika,Grace Kelly
2007,10,Rihanna,Don't Stop The Music
2007,11,Beyoncé & Shakira,Beautiful Liar
2007,12,Timbaland Presents OneRepublic,Apologize
2007,13,Jennifer Lopez,Qué hiciste
2007,14,Enrique Iglesias,Do You Know? (The Ping Pong Song)
2007,15,Marquess,Vayamos compañeros
2007,16,Monrose,Hot Summer
2007,17,Justin Timberlake,What Goes Around... Comes Around
2007,18,Sunrise Avenue,Fairytale Gone Bad
2007,19,Timbaland feat. Nelly Furtado & Justin Timberlake,Give It To Me
2007,20,Fergie,Big Girls Don't Cry
2007,21,Timbaland feat. Keri Hilson,The Way I Are
2007,22,Christina Aguilera,Hurt
2007,23,Alicia Keys,No One
2007,24,DJ BoBo,Vampires Are Alive
2007,25,Mark Medlock,Now Or Never
2007,26,Linkin Park,What I've Done
2007,27,50 Cent feat. Justin Timberlake,Ayo Technology
2007,28,Kaiser Chiefs,Ruby
2007,29,Avril Lavigne,Girlfriend
2007,30,Red Hot Chili Peppers,Snow (Hey Oh)
2007,31,Gwen Stefani feat. Akon,The Sweet Escape
2007,32,Fabienne Louves & Marc Sway,Hemmigslos liebe
2007,33,Take That,Patience
2007,34,Taxi [CH],Campari Soda
2007,35,David Guetta feat. Chris Willis,Love Is Gone
2007,36,Baschi,Wenn das Gott wüsst
2007,37,Snow Patrol,Chasing Cars
2007,38,Amy Winehouse,Rehab
2007,39,Eros Ramazzotti & Ricky Martin,Non siamo soli
2007,40,Silbermond,Das Beste
2007,41,Natasha Bedingfield,Soulmate
2007,42,Justin Timberlake feat. T.I.,My Love
2007,43,Robbie Williams with Pet Shop Boys,She's Madonna
2007,44,David Bisbal,Silencio
2007,45,Mash,Ewigi Liäbi
2007,46,Christina Aguilera,Candyman
2007,47,Herbert Grönemeyer,Lied eins - Stück vom Himmel
2007,48,Julieta Venegas,Me voy
2007,49,Avril Lavigne,When You're Gone
2007,50,Stress,On n'a qu'une terre
2007,51,Akon feat. Eminem,Smack That
2007,52,MusicStars,This Is Life
2007,53,Amy Winehouse,You Know I'm No Good
2007,54,Plain White T's,Hey There Delilah
2007,55,Stress,Rester soi-même
2007,56,Bon Jovi,(You Want To) Make A Memory
2007,57,Seal,Amazing
2007,58,Eric Prydz vs. Floyd,Proper Education
2007,59,Mark Medlock / Dieter Bohlen,You Can Get It
2007,60,Maroon 5,Makes Me Wonder
2007,61,Britney Spears,Gimme More
2007,62,Stress,Avenues
2007,63,Azad feat. Adel Tawil,Prison Break Anthem (Ich glaub an dich)
2007,64,Colbie Caillat,Bubbly
2007,65,Sean Kingston,Beautiful Girls
2007,66,Nickelback,If Everyone Cared
2007,67,Beyoncé,Listen
2007,68,Fatal Bazooka,Fous ta cagoule
2007,69,P. Diddy feat. Christina Aguilera,Tell Me
2007,70,MusicStars,Take A Chance
2007,71,Monrose,Shame
2007,72,Culcha Candela,Hamma!
2007,73,2raumwohnung,36grad
2007,74,Kanye West,Stronger
2007,75,Maroon 5,Wake Up Call
2007,76,Scissor Sisters,I Don't Feel Like Dancin'
2007,77,Akon feat. Snoop Dogg,I Wanna Love You
2007,78,Ciara,Like A Boy
2007,79,Céline Dion,Taking Chances
2007,80,Melanie C,The Moment You Believe
2007,81,Nickelback,Rockstar
2007,82,Peter Cincotti,Goodbye Philadelphia
2007,83,Juanes,Me enamora
2007,84,Akon,Don't Matter
2007,85,Yves Larock,Rise Up
2007,86,Cascada,Everytime We Touch
2007,87,Bob Sinclar & Cutee-B feat. Dollarman & Big Ali & Makedah,Rock This Party (Everybody Dance Now)
2007,88,Christophe Willem,Double je
2007,89,beFour,Magic Melody
2007,90,beFour,How Do You Do?
2007,91,Pigloo,Papa Pinguin
2007,92,Gwen Stefani,4 In The Morning
2007,93,Nelly Furtado,Maneater
2007,94,Chris Cornell,You Know My Name
2007,95,The Fray,How To Save A Life
2007,96,Justin Timberlake,LoveStoned
2007,97,Katie Melua,If You Were A Sailboat
2007,98,P!nk,U + Ur Hand
2007,99,Razorlight,America
2007,100,David Guetta feat. Cozi,Baby When The Light
2008,1,Timbaland Presents OneRepublic,Apologize
2008,2,Leona Lewis,Bleeding Love
2008,3,Duffy,Mercy
2008,4,Gabriella Cilmi,Sweet About Me
2008,5,Amy Macdonald,This Is The Life
2008,6,Madonna & Justin,4 Minutes
2008,7,Kid Rock,All Summer Long
2008,8,Katy Perry,I Kissed A Girl
2008,9,DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt)
2008,10,Jodlerklub Wiesenberg & Francine Jordi,Das Feyr vo dr Sehnsucht
2008,11,P!nk,So What
2008,12,Stefanie Heinzmann,My Man Is A Mean Man
2008,13,Baschi,Bring en hei
2008,14,Amy Macdonald,Mr Rock & Roll
2008,15,Ich + Ich,Stark
2008,16,Coldplay,Viva la vida
2008,17,Jason Mraz,I'm Yours
2008,18,Lenny Kravitz,I'll Be Waiting
2008,19,Yael Naim,New Soul
2008,20,Rihanna,Don't Stop The Music
2008,21,Rihanna,Disturbia
2008,22,Leona Lewis,Better In Time
2008,23,Estelle feat. Kanye West,American Boy
2008,24,Alicia Keys,No One
2008,25,Madcon,Beggin
2008,26,Söhne Mannheims,Das hat die Welt noch nicht gesehen
2008,27,A Fine Frenzy,Almost Lover
2008,28,Gölä,I ha di gärn
2008,29,Schnuffel,Kuschel Song
2008,30,Guru Josh Project,Infinity 2008
2008,31,Lady Gaga feat. Colby O'Donis,Just Dance
2008,32,Laurent Wolf,No Stress
2008,33,Amy Winehouse,Back To Black
2008,34,Enrique Iglesias,Can You Hear Me
2008,35,Madonna,Give It 2 Me
2008,36,Rihanna,Take A Bow
2008,37,Ich + Ich,So soll es bleiben
2008,38,Jordin Sparks with Chris Brown,No Air
2008,39,Gölä,D'Stadt
2008,40,Katy Perry,Hot N Cold
2008,41,Mark Ronson feat. Amy Winehouse,Valerie
2008,42,Jack White & Alicia Keys,Another Way To Die
2008,43,OneRepublic,Stop And Stare
2008,44,Enrique Iglesias feat. Nâdiya,Tired Of Being Sorry (Laisse le destin l'emporter)
2008,45,Amy Winehouse,Rehab
2008,46,Beyoncé,If I Were A Boy
2008,47,Yves Larock,Rise Up
2008,48,Kylie Minogue,In My Arms
2008,49,Stress,On n'a qu'une terre
2008,50,Flo Rida feat. T-Pain,Low
2008,51,Mika,Happy Ending
2008,52,Kelly Rowland,Work
2008,53,Amy Winehouse,You Know I'm No Good
2008,54,The Pussycat Dolls,When I Grow Up
2008,55,Duffy,Warwick Avenue
2008,56,Britney Spears,Womanizer
2008,57,Usher feat. Young Jeezy,Love In This Club
2008,58,September,Cry For You
2008,59,Thomas Godoj,Love Is You
2008,60,Maria Mena,Just Hold Me
2008,61,Shaggy feat. Trix & Flix,Feel The Rush (Mascots Song)
2008,62,Coldplay,Violet Hill
2008,63,Bligg,Rosalie
2008,64,James Blunt,1973
2008,65,R.I.O.,Shine On
2008,66,Ida Corr vs. Fedde Le Grand,Let Me Think About It
2008,67,Rosenstolz,Gib mir Sonne
2008,68,The White Stripes,7 Nation Army
2008,69,Linkin Park,Shadow Of The Day
2008,70,Sugababes,Denial
2008,71,Mika,Relax (Take It Easy)
2008,72,Seal,Amazing
2008,73,David Guetta feat. Chris Willis,Love Is Gone
2008,74,Gwen Stefani,Early Winter
2008,75,Bligg mit Streichmusik Alder,Volksmusigg
2008,76,The Killers,Human
2008,77,Colbie Caillat,Bubbly
2008,78,Ne-Yo,Closer
2008,79,Sara Bareilles,Love Song
2008,80,Mattafix,Living Darfur
2008,81,Timbaland feat. Keri Hilson,The Way I Are
2008,82,David Guetta feat. Tara McDonald,Delirious
2008,83,T.I. feat. Rihanna,Live Your Life
2008,84,Mash,Ewigi Liäbi
2008,85,Chris Brown,With You
2008,86,Rihanna feat. Jay-Z,Umbrella
2008,87,Britney Spears,Piece Of Me
2008,88,Nickelback,Rockstar
2008,89,Il Senso feat. Ruedi Rymann,Dr Schacher Seppli
2008,90,James Blunt,Same Mistake
2008,91,Maria Mena,All This Time (Pick-Me-Up Song)
2008,92,Mariah Carey,Touch My Body
2008,93,Laurent Wolf,Wash My World
2008,94,Reamonn,Through The Eyes Of A Child
2008,95,David Guetta feat. Cozi,Baby When The Light
2008,96,Marc Sway,Severina
2008,97,Snow Patrol,Chasing Cars
2008,98,Giusy Ferreri,Non ti scordar mai di me
2008,99,Katie Melua,If You Were A Sailboat
2008,100,Metallica,Nothing Else Matters
2009,1,Lady Gaga,Poker Face
2009,2,David Guetta feat. Kelly Rowland,When Love Takes Over
2009,3,Milow,Ayo Technology
2009,4,Katy Perry,Hot N Cold
2009,5,James Morrison feat. Nelly Furtado,Broken Strings
2009,6,Flo Rida feat. Ke$ha,Right Round
2009,7,The Black Eyed Peas,I Gotta Feeling
2009,8,Guru Josh Project,Infinity 2008
2009,9,Gossip,Heavy Cross
2009,10,Bligg,Rosalie
2009,11,Pitbull,I Know You Want Me (Calle Ocho)
2009,12,Jodlerklub Wiesenberg & Francine Jordi,Das Feyr vo dr Sehnsucht
2009,13,Leona Lewis,Run
2009,14,Mando Diao,Dance With Somebody
2009,15,David Guetta feat. Akon,Sexy Bitch
2009,16,Robbie Williams,Bodies
2009,17,The Black Eyed Peas,Boom Boom Pow
2009,18,Beyoncé,Halo
2009,19,Marit Larsen,If A Song Could Get Me You
2009,20,Lady Gaga feat. Colby O'Donis,Just Dance
2009,21,P!nk,Sober
2009,22,Lily Allen,Not Fair
2009,23,Bligg,Musigg i dä Schwiiz
2009,24,Amy Macdonald,This Is The Life
2009,25,Silbermond,Irgendwas bleibt
2009,26,Laura Pausini & James Blunt,Primavera in anticipo (It Is My Song)
2009,27,Beyoncé,If I Were A Boy
2009,28,Lily Allen,Fuck You
2009,29,Lady Gaga,Paparazzi
2009,30,P!nk,So What
2009,31,Coldplay,Viva la vida
2009,32,Agnes,Release Me
2009,33,Linkin Park,New Divide
2009,34,The Killers,Human
2009,35,Alesha Dixon,The Boy Does Nothing
2009,36,The Baseballs,Umbrella
2009,37,Melanie Fiona,Monday Morning
2009,38,Madonna,Celebration
2009,39,Shakira,She Wolf
2009,40,Emilíana Torrini,Jungle Drum
2009,41,Polarkreis 18,Allein allein
2009,42,Helmut Fritz,Ça m'énerve
2009,43,Cascada,Evacuate The Dancefloor
2009,44,Eminem,We Made You
2009,45,P!nk,Please Don't Leave Me
2009,46,Razorlight,Wire To Wire
2009,47,Kings Of Leon,Use Somebody
2009,48,Katy Perry,I Kissed A Girl
2009,49,"Baschi, Bligg, Ritschi, Seven & Stress",Stahn uf
2009,50,Kid Cudi vs. Crookers,Day 'N' Nite
2009,51,Nelly Furtado,Manos al aire
2009,52,Jason Mraz,I'm Yours
2009,53,Peter Fox,Haus am See
2009,54,Milow,You Don't Know
2009,55,Kelly Clarkson,My Life Would Suck Without You
2009,56,Melanie Fiona,Give It To Me Right
2009,57,Britney Spears,Womanizer
2009,58,The Pussycat Dolls,I Hate This Part
2009,59,Muse,Uprising
2009,60,Green Day,21 Guns
2009,61,Rihanna,Russian Roulette
2009,62,Michael Jackson,Billie Jean
2009,63,Charlie Winston,Like A Hobo
2009,64,MusicStars,Min Tag
2009,65,Rihanna,Rehab
2009,66,Empire Of The Sun,Walking On A Dream
2009,67,Pitbull,Hotel Room Service
2009,68,OneRepublic,All The Right Moves
2009,69,Jason Mraz and Colbie Caillat,Lucky
2009,70,T.I. feat. Rihanna,Live Your Life
2009,71,A.R. Rahman & The Pussycat Dolls feat. Nicole Scherzinger,Jai Ho! (You Are My Destiny)
2009,72,Daniel Schuhmacher,Anything But Love
2009,73,Eros Ramazzotti,Parla con me
2009,74,Rihanna,Disturbia
2009,75,Lily Allen,The Fear
2009,76,Maria Mena,All This Time (Pick-Me-Up Song)
2009,77,Akon,Right Now (Na Na Na)
2009,78,Myron,One Step Closer
2009,79,Paolo Nutini,Candy
2009,80,Daniel Merriweather feat. Wale,Change
2009,81,Michael Jackson,Thriller
2009,82,Gölä,I ha di gärn
2009,83,Jan Delay,Oh Jonny
2009,84,Jay-Z / Rihanna / Kanye West,Run This Town
2009,85,Kid Rock,All Summer Long
2009,86,Ciara feat. Justin Timberlake,Love Sex Magic
2009,87,MusicStars,Wer du würklich bisch
2009,88,Stress feat. Karolyn,Tous les mêmes
2009,89,Lady Gaga,LoveGame
2009,90,Beyoncé,Sweet Dreams
2009,91,Jay-Z + Alicia Keys,Empire State Of Mind
2009,92,Michael Jackson,Beat It
2009,93,Gabriella Cilmi,Sweet About Me
2009,94,Kät,Kei Luscht zum Ga
2009,95,The Black Eyed Peas,Meet Me Halfway
2009,96,Kelly Clarkson,Already Gone
2009,97,Grégoire,Toi + moi
2009,98,R.I.O.,Shine On
2009,99,Empire Of The Sun,We Are The People
2009,100,Cassandra Steen feat. Adel Tawil,Stadt
2010,1,Shakira feat. Freshlyground,Waka Waka (This Time For Africa)
2010,2,Yolanda Be Cool & DCup,We No Speak Americano
